TeamID	num_editors	num_edits	num_edits_per_editor	num_sections	deadline_exponent	inequality_effort	num_advisors	num_instructors	num_primary_PIs	num_secondary_PIs	num_student_leaders	num_student_members	num_unspecified	num_students_tot	num_supervisors_tot	num_total_registered	prop_students_editing	collab_strength_in	collab_strength_in_norm	collab_strength_out	collab_strength_out_norm	collab_singleton	collab_strength_tot	collab_strength_tot_norm	collab_degree_in	collab_degree_in_norm	collab_degree_out	collab_degree_out_norm	collab_degree_tot	collab_degree_tot_norm	collab_eigen_centrality	collab_between_centrality	collab_between_centrality_norm	collab_clustering	collab_clustering_norm	collab_clustering_weighted	collab_clustering_weighted_norm	collab_coreness	collab_coreness_norm	collab_authority	collab_authority_norm	collab_burt	collab_burt_norm	collaboration.score	overlap.score.10	overlap.score.20	overlap.score.5	communities_bipartite	gini_sections	ineq_entropy_sections	ineq_part_ratio_sections	gini_editors	dol_generalist	dol_correlation_activities	num_biobricks	prop_team_participated_before	num_team_participated_before	prop_team_participated_previous_year	num_team_participated_previous_year	nb_participations	past_medal_best_all_years	past_medal_year_before	past_nb_awards_best_all_years	past_nb_awards_year_before	past_performance_best_all_years	past_performance_year_before	has_gold_year_before	Region	Country	Track	Division	Team	Year	medal	medal_numeric	finalist	nb.awards	nb.awards.signif	winner	performance
21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	1	0	NA	0	NA	0	NA	0	NA	1	0	0	NA	NA	NA	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	1	-Inf	NA	-Inf	NA	-Inf	NA	NA	North America	Usa	Environment	Collegiate	Brown	2007	gold	3	NA	NA	NA	NA	3
22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	1	0	NA	0	NA	0	NA	0	NA	1	0	0	NA	NA	NA	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	NA	Asia	P.r. China	Information Processing	Collegiate	Tianjin	2007	gold	3	NA	NA	NA	NA	3
23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	1	0	NA	0	NA	0	NA	0	NA	1	0	0	NA	NA	NA	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	NA	Europe	Uk	Environment	Collegiate	Glasgow	2007	gold	3	NA	NA	NA	NA	3
24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	1	0	NA	0	NA	0	NA	0	NA	1	0	0	NA	NA	NA	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	1	-Inf	NA	-Inf	NA	-Inf	NA	NA	North America	Canada	Foundational Research	Collegiate	McGill	2007	silver	2	NA	NA	NA	NA	2
25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	1	0	NA	0	NA	0	NA	0	NA	1	0	0	NA	NA	NA	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	NA	North America	Canada	Energy	Collegiate	Alberta	2007	gold	3	NA	NA	NA	NA	3
26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	1	0	NA	0	NA	0	NA	0	NA	1	0	0	NA	NA	NA	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	1	-Inf	NA	-Inf	NA	-Inf	NA	NA	Asia	India	Foundational Research	Collegiate	Bangalore	2007	gold	3	NA	NA	NA	NA	3
27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	1	0	NA	0	NA	0	NA	0	NA	1	0	0	NA	NA	NA	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	NA	North America	Canada	Information Processing	Collegiate	Waterloo	2007	silver	2	NA	NA	NA	NA	2
29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	1	0	NA	0	NA	0	NA	0	NA	1	0	0	NA	NA	NA	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	1	-Inf	NA	-Inf	NA	-Inf	NA	NA	Asia	Japn	Foundational Research	Collegiate	Chiba	2007	bronze	1	NA	NA	NA	NA	1
30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	1	0	NA	0	NA	0	NA	0	NA	1	0	0	NA	NA	NA	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	1	-Inf	NA	-Inf	NA	-Inf	NA	NA	Europe	Spain	Foundational Research	Collegiate	Valencia	2007	gold	3	NA	NA	NA	NA	3
31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	1	0	NA	0	NA	0	NA	0	NA	1	0	0	NA	NA	NA	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	2	-Inf	NA	-Inf	NA	-Inf	NA	NA	North America	Usa	Foundational Research	Collegiate	Harvard	2007	gold	3	NA	NA	NA	NA	3
32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	1	0	NA	0	NA	0	NA	0	NA	1	0	0	NA	NA	NA	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	NA	Asia	P.r. China	Information Processing	Collegiate	USTC	2007	gold	3	NA	NA	NA	NA	3
33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	1	0	NA	0	NA	0	NA	0	NA	1	0	0	NA	NA	NA	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	2	-Inf	NA	-Inf	NA	-Inf	NA	NA	North America	Canada	Information Processing	Collegiate	Toronto	2007	silver	2	NA	NA	NA	NA	2
35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	1	0	NA	0	NA	0	NA	0	NA	1	0	0	NA	NA	NA	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	NA	Europe	Italy	Environment	Collegiate	Naples	2007	silver	2	NA	NA	NA	NA	2
37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	1	0	NA	0	NA	0	NA	0	NA	1	0	0	NA	NA	NA	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	1	-Inf	NA	-Inf	NA	-Inf	NA	NA	North America	Canada	Foundational Research	Collegiate	Calgary	2007	gold	3	NA	NA	NA	NA	3
38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	1	0	NA	0	NA	0	NA	0	NA	1	0	0	NA	NA	NA	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	1	-Inf	NA	-Inf	NA	-Inf	NA	NA	North America	Usa	Foundational Research	Collegiate	Purdue	2007	bronze	1	NA	NA	NA	NA	1
39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	1	0	NA	0	NA	0	NA	0	NA	1	0	0	NA	NA	NA	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	2	-Inf	NA	-Inf	NA	-Inf	NA	NA	Europe	Switzerland	Information Processing	Collegiate	ETHZ	2007	gold	3	NA	NA	NA	NA	3
40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	1	0	NA	0	NA	0	NA	0	NA	1	0	0	NA	NA	NA	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	NA	North America	Usa	Energy	Collegiate	Mississippi_State	2007	bronze	1	NA	NA	NA	NA	1
41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	1	0	NA	0	NA	0	NA	0	NA	1	0	0	NA	NA	NA	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	1	-Inf	NA	-Inf	NA	-Inf	NA	NA	North America	Usa	Energy	Collegiate	Penn_State	2007	gold	3	NA	NA	NA	NA	3
42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	1	0	NA	0	NA	0	NA	0	NA	1	0	0	NA	NA	NA	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	1	-Inf	NA	-Inf	NA	-Inf	NA	NA	Europe	United Kingdom	Foundational Research	Collegiate	Edinburgh	2007	gold	3	NA	NA	NA	NA	3
43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	1	0	NA	0	NA	0	NA	0	NA	1	0	0	NA	NA	NA	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	NA	North America		Environment	Collegiate	Prairie_View	2007	blocked	NA	NA	NA	NA	NA	NA
